external_id,unique_id,expiry_days
22132486,S-QCI2S2DQAT,0
22132457,S-OOND1R5TO5,0
22132428,S-R0YBEEESGB,0
22132427,S-SMBIRTRBT5,0
22132426,S-CPCNBAROT5,0
22132425,S-DXLGOT0AOB,0
22132403,S-8RNDBXRRAM,0
22132398,S-BRGRSRX8S9,0
22132394,S-NBPTXLTBDM,0
22132390,S-OLOQODARBO,0
22132363,S-TCNMNON39R,0
22132359,S-2D0SY86YNO,0
22132350,S-RCN17YAON7,0
22132303,S-MRTCEAD1NY,0
22132292,S-DDZTDOBINB,0
22132282,S-AECRLDRYT3,0
22132280,S-R8YSSEY6M3,0
22132278,S-CDIQBCTDCA,0
22132277,S-ORE8ZVCEMN,0
22132275,S-OGOCTTYRMC,0
22132272,S-RRT5GORRDD,1
22132269,S-DSR5YSQO7R,0
22132267,S-0LSONRENER,0
22132265,S-ILSDGLMXBO,0
22132264,S-1YNTY44C5M,0
22132263,S-ORZTZYSIM7,0
22132242,S-D2T6SSD6P8,0
22132241,S-MODSLA62EO,0
22132238,S-TADOOQBNYZ,0
22132236,S-Y4EASDIGOO,0
22132222,S-DIPCTMLS7Y,0
22132221,S-YO14ABO9Z1,0
22132220,S-NTSOZOVZSE,0
22132217,S-ODMBOEVDRC,0
22132216,S-7NRADRNDBS,0
22132212,S-ASZ6DNY2EL,0
22132208,S-TSOYYOAHO1,0
22132194,S-RSBEYRORAQ,0
22132191,S-O8BTARYTBD,0
22132152,S-VE0SS9T9Y5,0
22132142,S-S0MBLA1ILS,0
22132139,S-NQ2RR17LOS,0
22132121,S-N4BTYNBO53,0
22132114,S-PSBCETYM7C,0
22132104,S-ESCN8TRDT2,0
22132090,S-RMMLRRYLGT,0
22132074,S-YS00ZYQAEI,0
22132073,S-T2ZERBODTB,0
22132035,S-D5RLRC8YNB,0
22132033,S-T3E0NOADTM,0
22132028,S-CS48N9CSYT,0
22132002,S-AEPRSOMYDC,0
22131950,S-LAL3SA1SZD,0
22127183,S-TMSPQATZOE,1
22127182,S-1RS6B9T08O,1
22127167,S-BI1EMOSVNT,1
22127163,S-E8CYTTDNSB,1
22127161,S-1OGLOVDTQA,1
22127159,S-AC5TSEISRI,1
22127155,S-BLDMM1OY7R,1
22127153,S-MTSMYYNOSM,1
22127139,S-QGNGBOBLEM,1
22127127,S-OPNAR6TTBT,1
22127123,S-BOSBDM66AZ,1
22127119,S-OR9OYOZPEI,1
22127118,S-XYM9NYIVTR,1
22127106,S-RTYAB3A2RL,1
22127095,S-TALDS8C6DL,1
22127091,S-P08A8BCS0B,1
22127072,S-4E9ZBCS4EA,1
22127065,S-POT1DNVMYS,1
22127059,S-VBABEPAXOM,1
22127053,S-GT0MDRRMNR,1
22127034,S-NPS1GBBLSC,1
22127030,S-M7VTMON9AO,1
22127025,S-E95ZAM55OM,1
22127017,S-3DRRQOITDD,1
22127000,S-EYO31PR2NO,1
22126986,S-OIR390PSYB,1
22126954,S-NHSCO2PR7I,1
22126706,S-B8RY7B2TPN,0
22126495,S-HELM2TZCOA,0
22125833,S-NRSOZDB24R,0
22125598,S-MZ1EQIRRIO,0
22122105,S-TRGAOTETED,0
22122103,S-Y13GEY2A6Y,1
22122099,S-ORERTVCABD,0
22122094,S-A7BARYILMX,1
22122077,S-MYO1XNCCYP,1
22122076,S-RL2XTRCN7V,1
22122064,S-TOS621SRTR,0
22122063,S-HTASACOQPO,1
22122062,S-BBNPQR8R6O,1
22122047,S-ALLRHIS0HR,1
22122021,S-CTOREBREXE,1
22122005,S-CCNBD1SPMD,1
22121990,S-XLO2BLB1DH,1
22121988,S-MZ1SSTRSCR,1
22121963,S-B3ONOMSTDR,1
22121959,S-MZYDMABDBO,1
22121953,S-COTTBTNN3X,0
22121946,S-ROMXMDNTOS,1
22121934,S-DBSMX1DDLR,0
22121933,S-3CRE3AVNDR,0
22121921,S-EMMELYRO0N,1
22121920,S-MRI2PAVRRR,1
22121919,S-RXNMPMES2N,0
22121918,S-NDS9DPLPOT,0
22121917,S-6RDDTYTDAO,0
22121916,S-M6YMMNMRDO,1
